accession,sub_row,person,title,role_class,action,verb,sentence
0000950103-22-021872,1,Michael J. Cavanagh,President,president,appointment,appointment,"On December 28, 2022, Comcast Corporation (the “Company”) entered into a new employment agreement (the “Agreement”) with Michael J. Cavanagh in connection with his recent appointment as President of the Company."
0000950103-23-000208,1,Michael J. Cavanagh,the Chief Financial Officer of the Company,CFO,departure,succeed/replace,"Comcast Corporation (the “Company”) appointed Jason Armstrong to succeed Michael J. Cavanagh as the Chief Financial Officer of the Company, effective January 6, 2023."
0000950103-23-000208,2,Michael J. Cavanagh,Chief Financial Officer,CFO,departure,resigned,Mr. Cavanagh has resigned from the position as Chief Financial Officer.
0000950103-23-000208,3,Jason Armstrong,Chief Financial Officer,CFO,appointment,appointment,"In connection with his appointment as Chief Financial Officer, the Company has entered into a new employment agreement (the “Agreement”) with Mr. Armstrong pursuant to which Mr. Armstrong is entitled to an annual base salary of $1,800,000 and is also eligible for an annual performance-based cash bonus under the Company’s short-term incentive plan with a target bonus equal to 200% of his base salary."
0000950103-23-004120,1,"Thomas J. Baltimore, Jr.",director,director,election,elect,"On March 15, 2023, Thomas J. Baltimore, Jr. was appointed as a director of Comcast Corporation (the “Company”), effective immediately."
0000950103-23-004120,2,Mr. Baltimore,director,director,election,elect,He has not yet been appointed to serve as a member of any Board committee.
0000950103-23-014572,1,Louise F. Brady,director,director,election,elect,"On October 3, 2023, Louise F. Brady was appointed as a director of Comcast Corporation (the “Company”)."
0000950103-23-014572,2,Louise F. Brady,director,director,election,elect,She has not yet been appointed to serve as a member of any Board committee.
0000950103-23-017250,1,Ms. Brady,director,director,election,elect,"On December 5, 2023, the Board appointed Ms. Brady to serve on the Audit Committee of the Board, effective immediately."
0001166691-24-000019,1,Wonya Y. Lucas,director,director,election,elect,"On April 15, 2024, Wonya Y. Lucas was appointed as a director of Comcast Corporation (the “Company”)."
0001166691-24-000019,2,Wonya Y. Lucas,director,director,election,elect,She has not yet been appointed to serve as a member of any Board committee.
0000950103-25-003639,1,David Novak,"director of Comcast, will become non-executive Chairman of the Board of Directors",other_exec,appointment,will become,"In connection with Comcast Corporation’s planned spin-off of a strong portfolio of cable channels and complementary digital assets (“SpinCo”), Comcast announced on March 19, 2025 that David Novak, a director of Comcast, will become non-executive Chairman of the Board of Directors of SpinCo upon completion of the spin-off, which is expected to occur by the end of 2025."
0001193125-12-056765,1,,named executive officer,other_exec,appointment,will become,"All of the Options and shares of Restricted Stock will vest over four years from the Grant Date as follows: twenty-five percent (25%) of the Options and shares of Restricted Stock will vest and, in the case of the Options, will become exercisable, on February 7, 2013; the remainder of the Options will vest and become exercisable upon the named executive officer’s completion of each additional month of service with the Company in a series of thirty-six (36) successive, equal monthly installments;"
0001283699-12-000010,1,Kevin Landry,director,director,departure,not to stand for reelection,"On July 30, 2012, Mr. C. Kevin Landry, a member of the Board of Directors of MetroPCS Communications, Inc. (the “Company”), notified the Company of his decision not to stand for reelection as a Class III director of the Company upon the expiration of his current term, which expires at the conclusion of the Company's 2013 Annual Meeting of Stockholders."
0001283699-12-000010,2,Kevin Landry,Board of Directors,director,departure,not stand for reelection,"Mr. Landry's decision to not stand for reelection is not as a result of any disagreement with the Company on any matter relating to the Company's operations, policies or practices."
0001283699-12-000010,3,Kevin Landry,Board of Directors,director,departure,not stand for reelection,"Mr. Landry stated that his decision to not stand for reelection is based on, among other things, health issues and the fact that the funds which are associated with TA Associates, L.P., for which Mr. Landry is Chairman, have substantially reduced their equity holdings in the Company."
0001283699-13-000011,1,,named executive officer,other_exec,appointment,will become,"All of the Options and shares of Restricted Stock will vest over four years from the Grant Date as follows: twenty-five percent (25%) of the Options and shares of Restricted Stock will vest and, in the case of the Options, will become exercisable, on February 5, 2014; the remainder of the Options will vest and become exercisable upon the named executive officer's completion of each additional month of service with the Company in a series of thirty-six (36) successive, equal monthly installments;"
0001193125-13-193449,1,Kevin Landry,directors,director,departure,resigned,"Board of Directors On April 30, 2013, in connection with the consummation of the Transaction and the Mergers, the Board was increased to 11 members, and Roger D. Linquist, Arthur C. Patterson, John (Jack) F. Callahan, Jr., and C. Kevin Landry resigned from their positions as directors of the Company."
0001193125-13-193449,2,Michael Barnes,director,director,election,elect,"Effective April 30, 2013, the following individuals were appointed by the Board as directors of the Company pursuant to the terms of the Business Combination Agreement and the Stockholder’s Agreement, to fill the vacancies resulting from the resignations of the individuals referred to above and an increase in the size of the Board: Srikant Datar, Lawrence H. Guffey, Timotheus Höttges, Raphael Kübler, Thorsten Langheim, John J. Legere, René Obermann, Teresa A. Taylor, and Kelvin R. Westbrook."
0001193125-13-193449,3,Braxton Carter,Chief Accounting Officer,PAO,departure,resigned,"Executive Officers In connection with the consummation of the Transactions and the Mergers, effective April 30, 2013, the following individuals were appointed by the Board to serve as executive officers of the Company (the “Executive Officers”): • John J. Legere, President and Chief Executive Officer • James (Jim) C. Alling, Executive Vice President and Chief Operating Officer T-Mobile Business • David R. Carey, Executive Vice President, Corporate Services - 11 - • J. Braxton Carter, Executive V"
0001193125-13-193449,4,Malcolm M. Lorang,executive officer,other_exec,departure,resigned,"Mr. Kelton received a Bachelor of Science degree in electronics and electrical engineering from the University of Western Scotland. - 12 - On April 30, 2013, Roger D. Linquist, Mark A. Stachiw, Dennis T. Currier, Christine B. Kornegay, and Malcolm M. Lorang resigned as executive officers of the Company."
0001193125-13-193449,5,Dennis T. Currier,Senior Vice President,other_exec,appointment,will serve as,Under the offer letter Mr. Currier will serve as Senior Vice President of Human Resources.
0001193125-13-246944,1,,director,director,election,elect,"The 2013 Plan may be administered by the Board, or by a committee appointed by the Board or such committee’s delegate (each referred to as the “ Committee ”)."
0001283699-13-000120,1,René Obermann,director,director,departure,resignation,"(b) On October 24, 2013, René Obermann tendered his resignation as a director of T-Mobile US, Inc. (the “ Company ”), with such resignation to be effective as of November 15, 2013."
0001283699-13-000120,2,René Obermann,director,director,election,elect,"Mr. Obermann was elected to the Company’s Board of Directors (the “ Board ”) as a designee of Deutsche Telekom AG (“ Deutsche Telekom ”), the Company’s majority stockholder, pursuant to Deutsche Telekom’s rights under the Company’s certificate of incorporation and a Stockholder’s Agreement entered into as of April 30, 2013."
